country,region,number_of_doc
Turkey,Hatay,1029
South Africa,Northern Cape,1024
Ireland,Donegal,1020
Turkey,Gaziantep,1011
Portugal,Regiao Autonoma da Madeira,1010
Mexico,Chiapas,1009
Bulgaria,Blagoevgrad,1008
South Africa,Limpopo,1006
Switzerland,Thurgau,1005
Portugal,Coimbra,1003
Finland,Etela-Karjala,997
Norway,Vest-Agder,988
Romania,Botosani,987
Turkey,Samsun,984
Finland,Keski-Suomi,975
Austria,Burgenland,973
Colombia,Risaralda,973
United States,West Virginia,971
Mexico,Yucatan,970
Bulgaria,Pleven,968
Switzerland,Graubunden,963
Mexico,Queretaro,960
Sweden,Blekinge Lan,958
United States,New Mexico,953
Philippines,Cavite,951
Philippines,Cebu,950
Mexico,San Luis Potosi,921
Philippines,Pampanga,909
Finland,Paijat-Hame,908
United States,Delaware,893
New Zealand,Otago,890
Lithuania,Telsiu Apskritis,889
Turkey,Canakkale,886
Ireland,Louth,869
Hungary,Nograd,856
Lithuania,Utenos Apskritis,835
Turkey,Zonguldak,830
Bulgaria,Veliko Tarnovo,828
Ireland,Tipperary,826
Chile,Arica y Parinacota,825
Viet Nam,Can Tho,825
Croatia,Bjelovarsko-bilogorska zupanija,823
Costa Rica,Alajuela,821
Ecuador,Guayas,814
Croatia,Karlovacka zupanija,813
Romania,Covasna,812
Romania,Vaslui,811
Turkey,Denizli,801
Norway,Nord-Trondelag,800
Norway,Telemark,795
Viet Nam,Da Nang,792
Finland,Satakunta,792
Chile,Magallanes,785
Latvia,Stopinu,781
Turkey,Sanliurfa,769
Portugal,Regiao Autonoma dos Acores,766
Finland,Pohjanmaa,763
United States,New Hampshire,751
Portugal,Viseu,748
Argentina,Mendoza,741
India,Karnataka,734
Viet Nam,Hai Phong,729
"Bolivia, Plurinational State of",La Paz,726
United States,Montana,726
Ireland,Waterford,724
Brazil,Rio de Janeiro,722
Brazil,Minas Gerais,721
Lithuania,Marijampoles Apskritis,720
Turkey,Ordu,715
Turkey,Sivas,711
Estonia,Laane-Virumaa,710
Ireland,Wicklow,707
Colombia,Narino,706
United States,Hawaii,703
Finland,Lappi,700
United States,Maine,699
Peru,Callao,698
Italy,Basilicata,695
Sweden,Jamtlands Lan,694
Finland,Etela-Pohjanmaa,693
Mexico,Guerrero,692
Luxembourg,Luxembourg,688
Ireland,Offaly,688
Turkey,Trabzon,688
Ireland,Westmeath,677
Ireland,Kerry,671
Croatia,Sibensko-kninska zupanija,669
Romania,Calarasi,666
Finland,Kymenlaakso,661
Switzerland,Zug,661
Peru,La Libertad,660
Croatia,Brodsko-posavska zupanija,660
Philippines,Palawan,659
South Africa,Mpumalanga,658
Bulgaria,Gabrovo,651
France,Corse,649
Peru,Ancash,640
Ireland,Clare,630
India,Delhi,624
Croatia,Sisacko-moslavacka zupanija,623
Slovakia,Trenciansky kraj,618
Romania,Giurgiu,616
Mexico,Colima,611
Ireland,Kilkenny,609
Croatia,Krapinsko-zagorska zupanija,609
Norway,Troms,606
Peru,Arequipa,606
Colombia,Bolivar,605
Croatia,Medimurska zupanija,603
Turkey,Diyarbakir,600
India,Tamil Nadu,600
New Zealand,Manawatu-Wanganui,600
Turkey,Yalova,599
Viet Nam,An Giang,595
Bulgaria,Pazardzhik,589
Ukraine,Kyiv,589
Colombia,Magdalena,587
Iceland,Hofudborgarsvaedi utan Reykjavikur,579
Colombia,Tolima,577
Ireland,Mayo,577
Australia,Northern Territory,576
Romania,Mehedinti,562
Norway,Sogn og Fjordane,562
Croatia,Koprivnicko-krizevacka zupanija,556
Philippines,Laguna,556
Turkey,Afyonkarahisar,549
China,Beijing,544
Bulgaria,Vratsa,543
Switzerland,Neuchatel,539
Portugal,Viana do Castelo,537
Romania,Tulcea,536
Bulgaria,Shumen,535
Bulgaria,Kyustendil,534
Turkey,Isparta,531
Romania,Ialomita,530
Philippines,Davao del Sur,530
Romania,Bistrita-Nasaud,529
Portugal,Evora,527
Guatemala,Peten,527
Colombia,Norte de Santander,523
Romania,Harghita,522
Finland,Pohjois-Karjala,522
Ireland,Carlow,522
Italy,Molise,514
Turkey,Kirklareli,512
Slovenia,Nova Gorica,512
Switzerland,Schwyz,509
Brazil,Parana,508
Colombia,Boyaca,505
Costa Rica,Cartago,504
Philippines,Bulacan,499
Japan,Tokyo,498
Mexico,Baja California Sur,498
Philippines,Zambales,497
Turkey,Kahramanmaras,497
Turkey,Van,496
Argentina,Entre Rios,490
Canada,Newfoundland and Labrador,489
Costa Rica,Heredia,488
Viet Nam,Long An,486
Finland,Kainuu,483
Mexico,Durango,483
Spain,La Rioja,482
Mexico,Nayarit,482
India,Telangana,481
Russian Federation,Sankt-Peterburg,479
Mexico,Zacatecas,478
United States,Wyoming,476
Latvia,Rigas,473
Bosnia and Herzegovina,Republika Srpska,469
Bulgaria,Dobrich,468
Norway,Aust-Agder,465
New Zealand,Hawke's Bay,458
United Arab Emirates,'Ajman,457
Turkey,Edirne,454
Estonia,Ida-Virumaa,453
United States,Rhode Island,452
Argentina,Neuquen,452
Lithuania,Alytaus Apskritis,449
Viet Nam,Kien Giang,448
Switzerland,Schaffhausen,447
Croatia,Vukovarsko-srijemska zupanija,447
Turkey,Kutahya,440
Philippines,Pangasinan,438
United States,North Dakota,434
Colombia,Caldas,430
Portugal,Guarda,427
Turkey,Duzce,427
New Zealand,Northland,425
Bulgaria,Montana,424
Turkey,Erzurum,424
India,Uttar Pradesh,420
Peru,Ica,415
Peru,Loreto,414
Panama,Panama,414
Philippines,Quezon,414
Bulgaria,Razgrad,411
Bulgaria,Sliven,411
Ireland,Cavan,397
Brazil,Rio Grande do Sul,393
New Zealand,Southland,391
Peru,Lambayeque,388
Peru,Junin,382
Croatia,Pozesko-slavonska zupanija,379
Turkey,Kastamonu,379
Latvia,Dobeles,377
Romania,Salaj,371
Philippines,Misamis Oriental,365
Viet Nam,Quang Ninh,363
Thailand,Krung Thep Maha Nakhon,362
Latvia,Rezeknes,361
New Zealand,Taranaki,360
Viet Nam,Lam Dong,359
Indonesia,Jakarta Raya,358
United States,South Dakota,355
Peru,Piura,354
Latvia,Kekavas,351
Portugal,Vila Real,348
Bulgaria,Pernik,347
Turkey,Rize,346
Viet Nam,Binh Thuan,345
Colombia,Cauca,338
Nigeria,Lagos,335
Bulgaria,Vidin,334
Viet Nam,Dak Lak,330
Philippines,Batangas,329
Viet Nam,Tay Ninh,328
Slovenia,Koper-Capodistria,327
Mexico,Tlaxcala,326
Turkey,Corum,325
Colombia,Meta,324
Switzerland,Glarus,320
Colombia,Quindio,319
Ireland,Laois,319
Finland,Etela-Savo,319
Argentina,Tucuman,318
Argentina,Chubut,318
Latvia,Daugavpils,318
Colombia,Huila,316
Tunisia,Tunis,316
Kazakhstan,Astana,315
"Bolivia, Plurinational State of",Santa Cruz,309
Turkey,Bartin,306
Norway,Finnmark,305
Turkey,Elazig,305
Peru,Cajamarca,304
Turkey,Burdur,304
Bulgaria,Smolyan,304
Argentina,Rio Negro,303
China,Guangdong,303
Latvia,Valmieras,303
Portugal,Beja,300
Portugal,Castelo Branco,300
Slovenia,Trzin,296
Brazil,Santa Catarina,294
Viet Nam,Bac Ninh,290
Ireland,Monaghan,289
Viet Nam,Dong Thap,289
"Iran, Islamic Republic of",Tehran,289
New Zealand,Nelson,287
Argentina,Salta,283
Greece,Attiki,282
Latvia,Liepaja,281
Mexico,Campeche,280
Bulgaria,Silistra,279
Turkey,Aksaray,279
South Africa,-,278
Viet Nam,Phu Tho,276
Panama,Chiriqui,274
Argentina,Misiones,274
Turkey,Giresun,272
Estonia,Parnumaa,271
Azerbaijan,Baki,271
Saudi Arabia,Ar Riyad,270
Turkey,Bolu,270
Ireland,Sligo,268
Latvia,Kraslavas,268
Turkey,Batman,267
Turkey,Tokat,265
Bulgaria,Lovech,265
India,West Bengal,262
Peru,Tumbes,261
Cuba,La Habana,261
United Arab Emirates,Ra's al Khaymah,261
Viet Nam,-,260
Viet Nam,Thanh Hoa,260
Turkey,Erzincan,260
Slovenia,Izola-Isola,258
Viet Nam,Binh Dinh,258
United States,Vermont,258
Viet Nam,Khanh Hoa,257
India,Gujarat,257
El Salvador,San Salvador,255
Brazil,Distrito Federal,255
