Field,Type,Count
stone[].stone_quality[].quality_origins[].stone_name.value,NoneType,235711
stone[].stone_quality[].quality_origins[].stone_name.label,NoneType,235711
stone[].stone_quality[].quality_origins[].stone_name.default_label,NoneType,235711
stone[].stone_quality[].quality_origins[].stone_name.option_title,str,235711
stone[].stone_quality[].quality_origins[].stone_name.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].certificate,dict,235711
stone[].stone_quality[].quality_origins[].certificate.value,str,235711
stone[].stone_quality[].quality_origins[].certificate.label,str,235711
stone[].stone_quality[].quality_origins[].certificate.default_label,str,235711
stone[].stone_quality[].quality_origins[].certificate.option_title,str,235711
stone[].stone_quality[].quality_origins[].certificate.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].carat,dict,235711
stone[].stone_quality[].quality_origins[].carat.value,float,187841
stone[].stone_quality[].quality_origins[].carat.value,int,47870
stone[].stone_quality[].quality_origins[].carat.label,float,187841
stone[].stone_quality[].quality_origins[].carat.label,int,47870
stone[].stone_quality[].quality_origins[].carat.default_label,float,187841
stone[].stone_quality[].quality_origins[].carat.default_label,int,47870
stone[].stone_quality[].quality_origins[].carat.option_title,str,235711
stone[].stone_quality[].quality_origins[].carat.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].total_carat,dict,235711
stone[].stone_quality[].quality_origins[].total_carat.value,int,53603
stone[].stone_quality[].quality_origins[].total_carat.value,float,182108
stone[].stone_quality[].quality_origins[].total_carat.label,int,53603
stone[].stone_quality[].quality_origins[].total_carat.label,float,182108
stone[].stone_quality[].quality_origins[].total_carat.default_label,int,53603
stone[].stone_quality[].quality_origins[].total_carat.default_label,float,182108
stone[].stone_quality[].quality_origins[].total_carat.option_title,str,235711
stone[].stone_quality[].quality_origins[].total_carat.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].diameter,dict,235711
stone[].stone_quality[].quality_origins[].diameter.value,str,235711
stone[].stone_quality[].quality_origins[].diameter.label,str,235711
stone[].stone_quality[].quality_origins[].diameter.default_label,str,235711
stone[].stone_quality[].quality_origins[].diameter.option_title,str,235711
stone[].stone_quality[].quality_origins[].diameter.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].shape,dict,235711
stone[].stone_quality[].quality_origins[].shape.value,str,235711
stone[].stone_quality[].quality_origins[].shape.label,str,235711
stone[].stone_quality[].quality_origins[].shape.default_label,str,235711
stone[].stone_quality[].quality_origins[].shape.option_title,str,235711
stone[].stone_quality[].quality_origins[].shape.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].quality,dict,235711
stone[].stone_quality[].quality_origins[].quality.value,str,235711
stone[].stone_quality[].quality_origins[].quality.label,str,235711
stone[].stone_quality[].quality_origins[].quality.default_label,str,235711
stone[].stone_quality[].quality_origins[].quality.option_title,str,235711
stone[].stone_quality[].quality_origins[].quality.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].clarity,dict,235711
stone[].stone_quality[].quality_origins[].clarity.value,str,235711
stone[].stone_quality[].quality_origins[].clarity.label,str,235711
stone[].stone_quality[].quality_origins[].clarity.default_label,str,235711
stone[].stone_quality[].quality_origins[].clarity.option_title,str,235711
stone[].stone_quality[].quality_origins[].clarity.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].cut,dict,235711
stone[].stone_quality[].quality_origins[].cut.value,str,235711
stone[].stone_quality[].quality_origins[].cut.label,str,235711
stone[].stone_quality[].quality_origins[].cut.default_label,str,235711
stone[].stone_quality[].quality_origins[].cut.option_title,str,235711
stone[].stone_quality[].quality_origins[].cut.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].colour,dict,235711
stone[].stone_quality[].quality_origins[].colour.value,str,235711
stone[].stone_quality[].quality_origins[].colour.label,str,235711
stone[].stone_quality[].quality_origins[].colour.default_label,str,235711
stone[].stone_quality[].quality_origins[].colour.option_title,str,235711
stone[].stone_quality[].quality_origins[].colour.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].origin,dict,235711
stone[].stone_quality[].quality_origins[].origin.value,str,235711
stone[].stone_quality[].quality_origins[].origin.label,str,235711
stone[].stone_quality[].quality_origins[].origin.default_label,str,235711
stone[].stone_quality[].quality_origins[].origin.option_title,str,235711
stone[].stone_quality[].quality_origins[].origin.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].origin_colour,dict,235711
stone[].stone_quality[].quality_origins[].origin_colour.value,NoneType,235711
stone[].stone_quality[].quality_origins[].origin_colour.label,str,235711
stone[].stone_quality[].quality_origins[].origin_colour.default_label,NoneType,235711
stone[].stone_quality[].quality_origins[].origin_colour.default_option_title,str,235711
stone[].stone_quality[].quality_origins[].origin_colour.option_title,str,235711
stone[].stone_quality[].quality_origins[].qty,dict,235711
stone[].stone_quality[].quality_origins[].qty.value,int,235711
stone[].stone_quality[].quality_origins[].qty.label,int,235711
stone[].stone_quality[].quality_origins[].qty.default_label,int,235711
stone[].stone_quality[].quality_origins[].qty.option_title,str,235711
stone[].stone_quality[].quality_origins[].qty.default_option_title,str,235711
engraving_field[],dict,5701
engraving_field[].option_type_id,str,5701
engraving_field[].option_id,str,5701
engraving_field[].sku,NoneType,1644
engraving_field[].sku,str,4057
engraving_field[].default_title,str,5701
engraving_field[].store_title,str,5701
engraving_field[].title,str,5701
engraving_field[].price,str,5701
engraving_field[].price_type,str,5701
engraving_field[].max_characters,str,5701
engraving_field[].max_characters_wrong,NoneType,5484
engraving_field[].max_characters_wrong,str,217
pin,list,875
pin[],dict,3500
pin[].option_type_id,str,3500
pin[].option_id,str,3500
pin[].sku,str,3500
pin[].default_title,str,3500
pin[].store_title,str,3500
pin[].title,str,3500
pin[].price,str,3500
pin[].price_type,str,3500
pin[].is_default,bool,3500
